tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N124SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N124US,2000.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N125SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N125UW,2009.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N126UW,2009.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N127SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N127UW,2010.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N128SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N128UW,2010.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N130SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N131EV,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N131SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N132EV,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N132SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N133EV,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N133SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N134EV,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N134SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N135EV,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N135SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N136EV,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N136SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N137EV,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N138EV,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N138SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N139SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N140SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N141SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N142SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N143SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N144SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N145SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N146PQ,2007.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N146SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N147PQ,2007.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N148SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N149SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N150SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N150UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N151SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N151SY,,,MCDONNELL DOUGLAS,DC-10-15            ,,,,
N151UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N152UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N153PQ,2007.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N153UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N154UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N155UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N156UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N157UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N1604R,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1604R,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N161PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N161UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N162PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N162UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N163US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N165US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N165US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N166PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N167US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N167US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N169DZ,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N169UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N170PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N170SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N170US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N171DN,1990.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N171DZ,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N171SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N171UA,,,BOEING,747-422             ,,,,
N171US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N171US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N172DN,1990.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N172DZ,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N172US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N172US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N173DZ,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N173SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N173US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N174DN,1990.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N174DZ,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N174SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N174US,,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N174US,,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N175DN,1990.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N175DZ,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N175SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N175UA,,,BEECH,200T                ,,,,
N175UA,,,BOEING,747-422             ,,,,
N176DN,1990.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N176DZ,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N176PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N176UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N177DN,1991.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N177DZ,1999.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N177US,,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N177US,,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N178DN,1991.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N178DZ,2000.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N178JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N178US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N178US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N179DN,1991.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N179UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N180DN,1992.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N180US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N180US,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N181DN,1992.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N181PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N181UW,,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N182DN,1992.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N182UA,,,BOEING,747-422             ,,,,
N182UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N183DN,1993.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N183UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N184DN,1993.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N184JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N184US,2002.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N184US,2002.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N185DN,1995.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N185UW,2002.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N186DN,1995.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N186PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N186US,2002.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N187DN,1996.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N187JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N187PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N187US,2002.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N187US,2002.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N188DN,1996.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N188US,2002.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N189DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N189UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N190DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N190JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N190UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N191DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N191UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N192DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N192JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N192UW,2001.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-jet
N193DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N193JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N193JB,2005.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N193UW,2008.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N194DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N194UW,,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N195DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N195PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N195UW,2008.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N196DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N196UW,2009.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N197DN,1997.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N197JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N197PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N197UA,,,BOEING,747-422             ,,,,
N197UW,2009.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N198DN,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N198JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N198UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N199DN,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N199UA,,,DJI,MAVIC 2 PRO         ,,,,
N199UA,,,BOEING,747-422             ,,,,
N199UW,2013.0,Fixed wing multi engine,AIRBUS,A321-211,2.0,199.0,,Turbo-fan
N200AA,,,TEXTRON AVIATION,208B                ,,,,
N200AA,,,BEECH,A24R                ,,,,
N200PQ,2008.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N200WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N201AA,1959.0,Fixed wing single engine,CESSNA,150,1.0,2.0,90.0,Reciprocating
N201FR,2008.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N201FR,2008.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N201LV,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N202AA,1980.0,Fixed wing multi engine,CESSNA,421C,2.0,8.0,90.0,Reciprocating
N202FR,2008.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N202WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N203JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N203JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N203WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N204UA,,,BOEING,777-222             ,,,,
N204WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N205WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N206FR,2010.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N206JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N206JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N206UA,1999.0,Fixed wing multi engine,BOEING,777-222,2.0,400.0,,Turbo-fan
N206WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N207FR,2010.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N207WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N208WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N209UA,,,BOEING,777-222             ,,,,
N209WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N210UA,,,BOEING,777-222             ,,,,
N210WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N211UA,,,BOEING,777-222             ,,,,
N211WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N212UA,,,BOEING,777-222             ,,,,
N212WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N213UA,,,BOEING,777-222             ,,,,
N213WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N214UA,,,BOEING,777-222             ,,,,
N214WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N215UA,,,BOEING,777-222             ,,,,
N215WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N216JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N216JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N216UA,,,BOEING,777-222             ,,,,
N216WR,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N217AG,,,DJI,AGRAS T40           ,,,,
N217JC,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N217UA,,,BOEING,777-222             ,,,,
N218UA,,,BOEING,777-222             ,,,,
N218WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N219UA,,,BOEING,777-222             ,,,,
N219WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N220UA,,,BOEING,777-222             ,,,,
N220WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N221UA,,,BOEING,777-222             ,,,,
N221WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N222UA,,,BOEING,777-222             ,,,,
N222WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N223UA,,,BOEING,777-222             ,,,,
N223WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N224UA,,,BOEING,777-222             ,,,,
N224WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N225UA,,,BOEING,777-222             ,,,,
N225WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N226UA,,,BOEING,777-222             ,,,,
N226WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N227AG,,,AIRBUS,A320-214            ,,,,
N227AG,,,BOEING,737-230             ,,,,
N227UA,,,BOEING,777-222             ,,,,
N227WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N228FR,,,AIRBUS,A320-214            ,,,,
N228JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N228PQ,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N228UA,2002.0,Fixed wing multi engine,BOEING,777-222,2.0,400.0,,Turbo-fan
N228WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N229FR,,,AIRBUS,A320-214            ,,,,
N229JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N229UA,,,BOEING,777-222             ,,,,
N229WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N230FR,,,AIRBUS,A320-214            ,,,,
N230WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N231JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N231JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N231WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N232FR,,,AIRBUS,A320-214            ,,,,
N232PQ,2009.0,Fixed wing multi engine,BOMBARDIER,CL-600-2D24,2.0,95.0,,Turbo-fan
N232WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N233LV,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N234WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N235SW,,,EMBRAER,EMB-120ER           ,,,,
N235WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N236JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N236WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N237WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N238JB,,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N238WN,2005.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N239JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N239WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N240WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N241WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N242WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N243WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N244WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N245WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N246LV,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N247JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N247JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N247WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N248WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N249JB,2006.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,,Turbo-fan
N249WN,2006.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
